Food Name,Ingredients,Detected Allergens,Risk Level,Notes,Alternative Suggestions
Momos,"Wheat, Vegetables, Chicken","Vegetables, Wheat, Chicken",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat, Chicken. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chicken 65,"Chicken, Cornflour, Spices","Cornflour, Spices, Chicken",High Risk,"⚠️ High Risk: Contains Cornflour, Spices, Chicken. Avoid if allergic!",
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce","Soy Sauce, Peanuts",High Risk,"⚠️ High Risk: Contains Soy Sauce, Peanuts. Avoid if allergic!","Sunflower Butter, Almond Butter"
Peanut Chikki,"Peanuts, Jaggery","Jaggery, Peanuts",High Risk,"⚠️ High Risk: Contains Jaggery, Peanuts. Avoid if allergic!","Sunflower Butter, Almond Butter"
Rajma Chawal,"Kidney Beans, Rice, Spices",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Malai Kofta,"Paneer, Cream, Spices","Cream, Spices, Paneer",High Risk,"⚠️ High Risk: Contains Cream, Spices, Paneer. Avoid if allergic!",
Momos,"Wheat, Vegetables, Chicken",Chicken,Medium Risk,⚠️ Medium Risk: Contains Chicken. Avoid if allergic!,
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Palak Paneer,"Spinach, Paneer, Cream","Spinach, Cream, Paneer",High Risk,"⚠️ High Risk: Contains Spinach, Cream, Paneer. Avoid if allergic!",
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic","Lentils, Tomatoes, Garlic",High Risk,"⚠️ High Risk: Contains Lentils, Tomatoes, Garlic. Avoid if allergic!",
Malai Kofta,"Paneer, Cream, Spices",Paneer,Medium Risk,⚠️ Medium Risk: Contains Paneer. Avoid if allergic!,
Rasgulla,"Milk, Sugar",Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Butter Naan,"Wheat, Milk, Butter, Yeast",Yeast,Medium Risk,⚠️ Medium Risk: Contains Yeast. Avoid if allergic!,
Chow Mein,"Wheat, Vegetables, Soy Sauce",Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Chicken 65,"Chicken, Cornflour, Spices","Chicken, Cornflour, Spices",High Risk,"⚠️ High Risk: Contains Chicken, Cornflour, Spices. Avoid if allergic!",
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Tofu, Sichuan Pepper, Soy Sauce",High Risk,"⚠️ High Risk: Contains Tofu, Sichuan Pepper, Soy Sauce. Avoid if allergic!",
Rasgulla,"Milk, Sugar",Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Paneer Tikka,"Paneer, Yogurt, Spices","Spices, Yogurt",High Risk,"⚠️ High Risk: Contains Spices, Yogurt. Avoid if allergic!",
Tandoori Chicken,"Chicken, Yogurt, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Manchow Soup,"Vegetables, Soy Sauce, Garlic",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce","Chicken, Peanuts, Soy Sauce",High Risk,"⚠️ High Risk: Contains Chicken, Peanuts, Soy Sauce. Avoid if allergic!","Sunflower Butter, Almond Butter"
Chow Mein,"Wheat, Vegetables, Soy Sauce",Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic",Cornflour,Medium Risk,⚠️ Medium Risk: Contains Cornflour. Avoid if allergic!,
Masala Dosa,"Rice, Lentils, Potatoes",Potatoes,Medium Risk,⚠️ Medium Risk: Contains Potatoes. Avoid if allergic!,
Aloo Paratha,"Wheat, Potatoes, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Soy Sauce, Duck",High Risk,"⚠️ High Risk: Contains Soy Sauce, Duck. Avoid if allergic!",
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables","Shrimp, Rice",High Risk,"⚠️ High Risk: Contains Shrimp, Rice. Avoid if allergic!",
Fried Wontons,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chicken Biryani,"Rice, Chicken, Spices",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Butter Naan,"Wheat, Milk, Butter, Yeast","Yeast, Butter, Wheat",High Risk,"⚠️ High Risk: Contains Yeast, Butter, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper",Sichuan Pepper,Medium Risk,⚠️ Medium Risk: Contains Sichuan Pepper. Avoid if allergic!,
Pav Bhaji,"Vegetables, Butter, Bread",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Rajma Chawal,"Kidney Beans, Rice, Spices","Rice, Kidney Beans, Spices",High Risk,"⚠️ High Risk: Contains Rice, Kidney Beans, Spices. Avoid if allergic!",
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic","Cauliflower, Soy Sauce",High Risk,"⚠️ High Risk: Contains Cauliflower, Soy Sauce. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Paneer Tikka,"Paneer, Yogurt, Spices",Paneer,Medium Risk,⚠️ Medium Risk: Contains Paneer. Avoid if allergic!,
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Soy Sauce, Tofu, Sichuan Pepper",High Risk,"⚠️ High Risk: Contains Soy Sauce, Tofu, Sichuan Pepper. Avoid if allergic!",
Chicken 65,"Chicken, Cornflour, Spices","Cornflour, Chicken, Spices",High Risk,"⚠️ High Risk: Contains Cornflour, Chicken, Spices. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt",Chickpea Flour,Medium Risk,⚠️ Medium Risk: Contains Chickpea Flour. Avoid if allergic!,
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic","Cornflour, Soy Sauce, Cauliflower",High Risk,"⚠️ High Risk: Contains Cornflour, Soy Sauce, Cauliflower. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Butter Naan,"Wheat, Milk, Butter, Yeast","Butter, Yeast",High Risk,"⚠️ High Risk: Contains Butter, Yeast. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread",Bread,Medium Risk,⚠️ Medium Risk: Contains Bread. Avoid if allergic!,
Palak Paneer,"Spinach, Paneer, Cream",Paneer,Medium Risk,⚠️ Medium Risk: Contains Paneer. Avoid if allergic!,
Momos,"Wheat, Vegetables, Chicken","Chicken, Wheat",High Risk,"⚠️ High Risk: Contains Chicken, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Hoisin Sauce, Duck, Soy Sauce",High Risk,"⚠️ High Risk: Contains Hoisin Sauce, Duck, Soy Sauce. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Hoisin Sauce, Duck",High Risk,"⚠️ High Risk: Contains Hoisin Sauce, Duck. Avoid if allergic!",
Tandoori Chicken,"Chicken, Yogurt, Spices","Chicken, Yogurt",High Risk,"⚠️ High Risk: Contains Chicken, Yogurt. Avoid if allergic!",
Fried Wontons,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Wheat",High Risk,"⚠️ High Risk: Contains Soy Sauce, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Beef, Sichuan Pepper",High Risk,"⚠️ High Risk: Contains Beef, Sichuan Pepper. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt","Yogurt, Chickpea Flour",High Risk,"⚠️ High Risk: Contains Yogurt, Chickpea Flour. Avoid if allergic!",
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic",Garlic,Medium Risk,⚠️ Medium Risk: Contains Garlic. Avoid if allergic!,
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Hoisin Sauce, Duck, Soy Sauce",High Risk,"⚠️ High Risk: Contains Hoisin Sauce, Duck, Soy Sauce. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables","Rice, Vegetables, Lentils",High Risk,"⚠️ High Risk: Contains Rice, Vegetables, Lentils. Avoid if allergic!",
Fish Curry,"Fish, Coconut, Spices","Spices, Fish",High Risk,"⚠️ High Risk: Contains Spices, Fish. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt","Yogurt, Chickpea Flour",High Risk,"⚠️ High Risk: Contains Yogurt, Chickpea Flour. Avoid if allergic!",
Aloo Paratha,"Wheat, Potatoes, Spices","Potatoes, Spices, Wheat",High Risk,"⚠️ High Risk: Contains Potatoes, Spices, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Masala Dosa,"Rice, Lentils, Potatoes","Potatoes, Lentils",High Risk,"⚠️ High Risk: Contains Potatoes, Lentils. Avoid if allergic!",
Paneer Tikka,"Paneer, Yogurt, Spices","Yogurt, Spices, Paneer",High Risk,"⚠️ High Risk: Contains Yogurt, Spices, Paneer. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Soy Sauce, Duck, Hoisin Sauce",High Risk,"⚠️ High Risk: Contains Soy Sauce, Duck, Hoisin Sauce. Avoid if allergic!",
Chicken Biryani,"Rice, Chicken, Spices","Rice, Spices",High Risk,"⚠️ High Risk: Contains Rice, Spices. Avoid if allergic!",
Rasgulla,"Milk, Sugar","Sugar, Milk",High Risk,"⚠️ High Risk: Contains Sugar, Milk. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Aloo Paratha,"Wheat, Potatoes, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Momos,"Wheat, Vegetables, Chicken","Chicken, Wheat",High Risk,"⚠️ High Risk: Contains Chicken, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Paneer, Soy Sauce, Capsicum",High Risk,"⚠️ High Risk: Contains Paneer, Soy Sauce, Capsicum. Avoid if allergic!",
Rasgulla,"Milk, Sugar",Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Butter Naan,"Wheat, Milk, Butter, Yeast","Butter, Milk, Wheat",High Risk,"⚠️ High Risk: Contains Butter, Milk, Wheat. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Flour, Rice Flour"
Aloo Paratha,"Wheat, Potatoes, Spices","Wheat, Potatoes, Spices",High Risk,"⚠️ High Risk: Contains Wheat, Potatoes, Spices. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Peanut Chikki,"Peanuts, Jaggery","Peanuts, Jaggery",High Risk,"⚠️ High Risk: Contains Peanuts, Jaggery. Avoid if allergic!","Sunflower Butter, Almond Butter"
Butter Naan,"Wheat, Milk, Butter, Yeast","Wheat, Butter, Milk",High Risk,"⚠️ High Risk: Contains Wheat, Butter, Milk. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Almond Milk, Cashew Cream, Soy Milk"
Chicken 65,"Chicken, Cornflour, Spices","Cornflour, Chicken",High Risk,"⚠️ High Risk: Contains Cornflour, Chicken. Avoid if allergic!",
Momos,"Wheat, Vegetables, Chicken",Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Sichuan Pepper, Soy Sauce, Tofu",High Risk,"⚠️ High Risk: Contains Sichuan Pepper, Soy Sauce, Tofu. Avoid if allergic!",
Palak Paneer,"Spinach, Paneer, Cream","Paneer, Cream, Spinach",High Risk,"⚠️ High Risk: Contains Paneer, Cream, Spinach. Avoid if allergic!",
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables","Vegetables, Rice, Schezwan Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Rice, Schezwan Sauce. Avoid if allergic!",
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Soy Sauce, Vegetables",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables. Avoid if allergic!",
Paneer Tikka,"Paneer, Yogurt, Spices","Yogurt, Paneer, Spices",High Risk,"⚠️ High Risk: Contains Yogurt, Paneer, Spices. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt",Chickpea Flour,Medium Risk,⚠️ Medium Risk: Contains Chickpea Flour. Avoid if allergic!,
Chilli Paneer,"Paneer, Capsicum, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Palak Paneer,"Spinach, Paneer, Cream",Spinach,Medium Risk,⚠️ Medium Risk: Contains Spinach. Avoid if allergic!,
Momos,"Wheat, Vegetables, Chicken",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables","Vegetables, Rice, Schezwan Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Rice, Schezwan Sauce. Avoid if allergic!",
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Beef, Tofu, Sichuan Pepper",High Risk,"⚠️ High Risk: Contains Beef, Tofu, Sichuan Pepper. Avoid if allergic!",
Palak Paneer,"Spinach, Paneer, Cream",Cream,Medium Risk,⚠️ Medium Risk: Contains Cream. Avoid if allergic!,
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Sichuan Pepper, Beef, Vegetables",High Risk,"⚠️ High Risk: Contains Sichuan Pepper, Beef, Vegetables. Avoid if allergic!",
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables","Shrimp, Vegetables",High Risk,"⚠️ High Risk: Contains Shrimp, Vegetables. Avoid if allergic!",
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Malai Kofta,"Paneer, Cream, Spices","Spices, Cream, Paneer",High Risk,"⚠️ High Risk: Contains Spices, Cream, Paneer. Avoid if allergic!",
Chicken 65,"Chicken, Cornflour, Spices","Cornflour, Spices, Chicken",High Risk,"⚠️ High Risk: Contains Cornflour, Spices, Chicken. Avoid if allergic!",
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
