Food Name,Ingredients,Detected Allergens,Risk Level,Notes,Alternative Suggestions
Chilli Paneer,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Pav Bhaji,"Shellfish, Milk, Eggs","Shellfish, Milk, Eggs",High Risk,"⚠️ High Risk: Contains Shellfish, Milk, Eggs. Avoid if allergic!","Mushrooms, Tofu, Almond Milk, Cashew Cream, Soy Milk, Chia Seeds, Flaxseeds"
Dhokla,"Eggs, Milk, Peanuts","Eggs, Milk, Peanuts",High Risk,"⚠️ High Risk: Contains Eggs, Milk, Peanuts. Avoid if allergic!","Chia Seeds, Flaxseeds, Almond Milk, Cashew Cream, Soy Milk, Sunflower Butter, Almond Butter"
Shrimp Fried Rice,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Malai Kofta,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Sichuan Hot Pot,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Veg Hakka Noodles,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Kung Pao Chicken,"Milk, Peanuts","Milk, Peanuts",High Risk,"⚠️ High Risk: Contains Milk, Peanuts. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Sunflower Butter, Almond Butter"
Dhokla,"Peanuts, Eggs, Wheat","Peanuts, Eggs, Wheat",High Risk,"⚠️ High Risk: Contains Peanuts, Eggs, Wheat. Avoid if allergic!","Sunflower Butter, Almond Butter, Chia Seeds, Flaxseeds, Gluten-Free Flour, Rice Flour"
Chilli Paneer,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Paneer Tikka,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Peanut Chikki,"Eggs, Peanuts","Eggs, Peanuts",High Risk,"⚠️ High Risk: Contains Eggs, Peanuts. Avoid if allergic!","Chia Seeds, Flaxseeds, Sunflower Butter, Almond Butter"
Kung Pao Chicken,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Chicken 65,"Milk, Tree Nuts, Wheat","Milk, Tree Nuts, Wheat",High Risk,"⚠️ High Risk: Contains Milk, Tree Nuts, Wheat. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Seeds (Sunflower, Pumpkin), Gluten-Free Flour, Rice Flour"
Masala Dosa,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Schezwan Fried Rice,"Wheat, Tree Nuts","Wheat, Tree Nuts",High Risk,"⚠️ High Risk: Contains Wheat, Tree Nuts. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Seeds (Sunflower, Pumpkin)"
Chicken 65,"Wheat, Shellfish, Tree Nuts","Wheat, Shellfish, Tree Nuts",High Risk,"⚠️ High Risk: Contains Wheat, Shellfish, Tree Nuts. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Mushrooms, Tofu, Seeds (Sunflower, Pumpkin)"
Schezwan Fried Rice,"Soy, Eggs, Peanuts","Soy, Eggs, Peanuts",High Risk,"⚠️ High Risk: Contains Soy, Eggs, Peanuts. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Chia Seeds, Flaxseeds, Sunflower Butter, Almond Butter"
Momos,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Fried Wontons,"Soy, Peanuts","Soy, Peanuts",High Risk,"⚠️ High Risk: Contains Soy, Peanuts. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Sunflower Butter, Almond Butter"
Manchow Soup,"Eggs, Soy","Eggs, Soy",High Risk,"⚠️ High Risk: Contains Eggs, Soy. Avoid if allergic!","Chia Seeds, Flaxseeds, Coconut Aminos, Tamari Sauce"
Rajma Chawal,"Shellfish, Wheat, Gluten","Shellfish, Wheat, Gluten",High Risk,"⚠️ High Risk: Contains Shellfish, Wheat, Gluten. Avoid if allergic!","Mushrooms, Tofu, Gluten-Free Flour, Rice Flour, Gluten-Free Wrap, Rice Paper"
Schezwan Fried Rice,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Tandoori Chicken,"Wheat, Shellfish, Gluten","Wheat, Shellfish, Gluten",High Risk,"⚠️ High Risk: Contains Wheat, Shellfish, Gluten. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Mushrooms, Tofu, Gluten-Free Wrap, Rice Paper"
Paneer Tikka,"Eggs, Shellfish","Eggs, Shellfish",High Risk,"⚠️ High Risk: Contains Eggs, Shellfish. Avoid if allergic!","Chia Seeds, Flaxseeds, Mushrooms, Tofu"
Peanut Chikki,"Gluten, Eggs, Milk","Gluten, Eggs, Milk",High Risk,"⚠️ High Risk: Contains Gluten, Eggs, Milk. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Chia Seeds, Flaxseeds, Almond Milk, Cashew Cream, Soy Milk"
Kung Pao Chicken,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Aloo Paratha,"Wheat, Gluten","Wheat, Gluten",High Risk,"⚠️ High Risk: Contains Wheat, Gluten. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Gluten-Free Wrap, Rice Paper"
Momos,"Wheat, Shellfish","Wheat, Shellfish",High Risk,"⚠️ High Risk: Contains Wheat, Shellfish. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Mushrooms, Tofu"
Fish Curry,"Soy, Wheat","Soy, Wheat",High Risk,"⚠️ High Risk: Contains Soy, Wheat. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Gluten-Free Flour, Rice Flour"
Mapo Tofu,"Soy, Milk","Soy, Milk",High Risk,"⚠️ High Risk: Contains Soy, Milk. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Almond Milk, Cashew Cream, Soy Milk"
Veg Hakka Noodles,"Shellfish, Tree Nuts, Wheat","Shellfish, Tree Nuts, Wheat",High Risk,"⚠️ High Risk: Contains Shellfish, Tree Nuts, Wheat. Avoid if allergic!","Mushrooms, Tofu, Seeds (Sunflower, Pumpkin), Gluten-Free Flour, Rice Flour"
Fried Wontons,"Wheat, Soy, Eggs","Wheat, Soy, Eggs",High Risk,"⚠️ High Risk: Contains Wheat, Soy, Eggs. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Coconut Aminos, Tamari Sauce, Chia Seeds, Flaxseeds"
Peking Duck,"Tree Nuts, Wheat","Tree Nuts, Wheat",High Risk,"⚠️ High Risk: Contains Tree Nuts, Wheat. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Gluten-Free Flour, Rice Flour"
Rasgulla,"Gluten, Soy, Tree Nuts","Gluten, Soy, Tree Nuts",High Risk,"⚠️ High Risk: Contains Gluten, Soy, Tree Nuts. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Coconut Aminos, Tamari Sauce, Seeds (Sunflower, Pumpkin)"
Gobi Manchurian,"Peanuts, Shellfish, Gluten","Peanuts, Shellfish, Gluten",High Risk,"⚠️ High Risk: Contains Peanuts, Shellfish, Gluten. Avoid if allergic!","Sunflower Butter, Almond Butter, Mushrooms, Tofu, Gluten-Free Wrap, Rice Paper"
Aloo Paratha,"Shellfish, Eggs, Gluten","Shellfish, Eggs, Gluten",High Risk,"⚠️ High Risk: Contains Shellfish, Eggs, Gluten. Avoid if allergic!","Mushrooms, Tofu, Chia Seeds, Flaxseeds, Gluten-Free Wrap, Rice Paper"
Tandoori Chicken,"Milk, Eggs, Peanuts","Milk, Eggs, Peanuts",High Risk,"⚠️ High Risk: Contains Milk, Eggs, Peanuts. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Chia Seeds, Flaxseeds, Sunflower Butter, Almond Butter"
Rajma Chawal,"Soy, Tree Nuts, Wheat","Soy, Tree Nuts, Wheat",High Risk,"⚠️ High Risk: Contains Soy, Tree Nuts, Wheat. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Seeds (Sunflower, Pumpkin), Gluten-Free Flour, Rice Flour"
Mapo Tofu,"Milk, Eggs, Tree Nuts","Milk, Eggs, Tree Nuts",High Risk,"⚠️ High Risk: Contains Milk, Eggs, Tree Nuts. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Chia Seeds, Flaxseeds, Seeds (Sunflower, Pumpkin)"
Idli Sambar,"Peanuts, Wheat, Soy","Peanuts, Wheat, Soy",High Risk,"⚠️ High Risk: Contains Peanuts, Wheat, Soy. Avoid if allergic!","Sunflower Butter, Almond Butter, Gluten-Free Flour, Rice Flour, Coconut Aminos, Tamari Sauce"
Chow Mein,"Gluten, Wheat","Gluten, Wheat",High Risk,"⚠️ High Risk: Contains Gluten, Wheat. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Gluten-Free Flour, Rice Flour"
Fish Curry,"Gluten, Wheat, Shellfish","Gluten, Wheat, Shellfish",High Risk,"⚠️ High Risk: Contains Gluten, Wheat, Shellfish. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Gluten-Free Flour, Rice Flour, Mushrooms, Tofu"
Idli Sambar,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Paneer Tikka,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Veg Hakka Noodles,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Schezwan Fried Rice,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Tandoori Chicken,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Chow Mein,"Wheat, Soy","Wheat, Soy",High Risk,"⚠️ High Risk: Contains Wheat, Soy. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Coconut Aminos, Tamari Sauce"
Pav Bhaji,"Shellfish, Soy","Shellfish, Soy",High Risk,"⚠️ High Risk: Contains Shellfish, Soy. Avoid if allergic!","Mushrooms, Tofu, Coconut Aminos, Tamari Sauce"
Palak Paneer,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Palak Paneer,"Eggs, Soy","Eggs, Soy",High Risk,"⚠️ High Risk: Contains Eggs, Soy. Avoid if allergic!","Chia Seeds, Flaxseeds, Coconut Aminos, Tamari Sauce"
Butter Naan,"Peanuts, Milk","Peanuts, Milk",High Risk,"⚠️ High Risk: Contains Peanuts, Milk. Avoid if allergic!","Sunflower Butter, Almond Butter, Almond Milk, Cashew Cream, Soy Milk"
Chilli Paneer,"Wheat, Shellfish, Gluten","Wheat, Shellfish, Gluten",High Risk,"⚠️ High Risk: Contains Wheat, Shellfish, Gluten. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Mushrooms, Tofu, Gluten-Free Wrap, Rice Paper"
Chilli Paneer,"Gluten, Milk, Wheat","Gluten, Milk, Wheat",High Risk,"⚠️ High Risk: Contains Gluten, Milk, Wheat. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Flour, Rice Flour"
Palak Paneer,"Peanuts, Tree Nuts, Eggs","Peanuts, Tree Nuts, Eggs",High Risk,"⚠️ High Risk: Contains Peanuts, Tree Nuts, Eggs. Avoid if allergic!","Sunflower Butter, Almond Butter, Seeds (Sunflower, Pumpkin), Chia Seeds, Flaxseeds"
Rasgulla,"Eggs, Wheat","Eggs, Wheat",High Risk,"⚠️ High Risk: Contains Eggs, Wheat. Avoid if allergic!","Chia Seeds, Flaxseeds, Gluten-Free Flour, Rice Flour"
Veg Hakka Noodles,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Masala Dosa,"Shellfish, Gluten, Eggs","Shellfish, Gluten, Eggs",High Risk,"⚠️ High Risk: Contains Shellfish, Gluten, Eggs. Avoid if allergic!","Mushrooms, Tofu, Gluten-Free Wrap, Rice Paper, Chia Seeds, Flaxseeds"
Shrimp Fried Rice,"Wheat, Shellfish, Peanuts","Wheat, Shellfish, Peanuts",High Risk,"⚠️ High Risk: Contains Wheat, Shellfish, Peanuts. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Mushrooms, Tofu, Sunflower Butter, Almond Butter"
Malai Kofta,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Peanut Chikki,"Wheat, Soy","Wheat, Soy",High Risk,"⚠️ High Risk: Contains Wheat, Soy. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Coconut Aminos, Tamari Sauce"
Masala Dosa,"Peanuts, Wheat, Gluten","Peanuts, Wheat, Gluten",High Risk,"⚠️ High Risk: Contains Peanuts, Wheat, Gluten. Avoid if allergic!","Sunflower Butter, Almond Butter, Gluten-Free Flour, Rice Flour, Gluten-Free Wrap, Rice Paper"
Masala Dosa,"Tree Nuts, Shellfish, Milk","Tree Nuts, Shellfish, Milk",High Risk,"⚠️ High Risk: Contains Tree Nuts, Shellfish, Milk. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Mushrooms, Tofu, Almond Milk, Cashew Cream, Soy Milk"
Malai Kofta,"Eggs, Milk, Wheat","Eggs, Milk, Wheat",High Risk,"⚠️ High Risk: Contains Eggs, Milk, Wheat. Avoid if allergic!","Chia Seeds, Flaxseeds, Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Flour, Rice Flour"
Chow Mein,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Schezwan Fried Rice,"Soy, Gluten, Wheat","Soy, Gluten, Wheat",High Risk,"⚠️ High Risk: Contains Soy, Gluten, Wheat. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Gluten-Free Wrap, Rice Paper, Gluten-Free Flour, Rice Flour"
Idli Sambar,"Wheat, Milk","Wheat, Milk",High Risk,"⚠️ High Risk: Contains Wheat, Milk. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Almond Milk, Cashew Cream, Soy Milk"
Malai Kofta,"Eggs, Tree Nuts, Milk","Eggs, Tree Nuts, Milk",High Risk,"⚠️ High Risk: Contains Eggs, Tree Nuts, Milk. Avoid if allergic!","Chia Seeds, Flaxseeds, Seeds (Sunflower, Pumpkin), Almond Milk, Cashew Cream, Soy Milk"
Pav Bhaji,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Gobi Manchurian,"Milk, Eggs, Peanuts","Milk, Eggs, Peanuts",High Risk,"⚠️ High Risk: Contains Milk, Eggs, Peanuts. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Chia Seeds, Flaxseeds, Sunflower Butter, Almond Butter"
Aloo Paratha,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Malai Kofta,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Chicken Biryani,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Dhokla,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Fried Wontons,"Gluten, Shellfish","Gluten, Shellfish",High Risk,"⚠️ High Risk: Contains Gluten, Shellfish. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Mushrooms, Tofu"
Rasgulla,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Tandoori Chicken,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Idli Sambar,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Masala Dosa,"Gluten, Eggs, Shellfish","Gluten, Eggs, Shellfish",High Risk,"⚠️ High Risk: Contains Gluten, Eggs, Shellfish. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Chia Seeds, Flaxseeds, Mushrooms, Tofu"
Chicken 65,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Gobi Manchurian,"Milk, Soy","Milk, Soy",High Risk,"⚠️ High Risk: Contains Milk, Soy. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Coconut Aminos, Tamari Sauce"
Rasgulla,"Shellfish, Soy, Tree Nuts","Shellfish, Soy, Tree Nuts",High Risk,"⚠️ High Risk: Contains Shellfish, Soy, Tree Nuts. Avoid if allergic!","Mushrooms, Tofu, Coconut Aminos, Tamari Sauce, Seeds (Sunflower, Pumpkin)"
Chicken Biryani,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Malai Kofta,"Peanuts, Tree Nuts, Gluten","Peanuts, Tree Nuts, Gluten",High Risk,"⚠️ High Risk: Contains Peanuts, Tree Nuts, Gluten. Avoid if allergic!","Sunflower Butter, Almond Butter, Seeds (Sunflower, Pumpkin), Gluten-Free Wrap, Rice Paper"
Chicken 65,"Soy, Eggs, Wheat","Soy, Eggs, Wheat",High Risk,"⚠️ High Risk: Contains Soy, Eggs, Wheat. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Chia Seeds, Flaxseeds, Gluten-Free Flour, Rice Flour"
Spring Rolls,"Soy, Gluten","Soy, Gluten",High Risk,"⚠️ High Risk: Contains Soy, Gluten. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Gluten-Free Wrap, Rice Paper"
Spring Rolls,"Eggs, Peanuts, Shellfish","Eggs, Peanuts, Shellfish",High Risk,"⚠️ High Risk: Contains Eggs, Peanuts, Shellfish. Avoid if allergic!","Chia Seeds, Flaxseeds, Sunflower Butter, Almond Butter, Mushrooms, Tofu"
Aloo Paratha,"Shellfish, Peanuts","Shellfish, Peanuts",High Risk,"⚠️ High Risk: Contains Shellfish, Peanuts. Avoid if allergic!","Mushrooms, Tofu, Sunflower Butter, Almond Butter"
Veg Hakka Noodles,"Gluten, Soy, Wheat","Gluten, Soy, Wheat",High Risk,"⚠️ High Risk: Contains Gluten, Soy, Wheat. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Coconut Aminos, Tamari Sauce, Gluten-Free Flour, Rice Flour"
Shrimp Fried Rice,"Eggs, Wheat, Shellfish","Eggs, Wheat, Shellfish",High Risk,"⚠️ High Risk: Contains Eggs, Wheat, Shellfish. Avoid if allergic!","Chia Seeds, Flaxseeds, Gluten-Free Flour, Rice Flour, Mushrooms, Tofu"
Chicken 65,"Milk, Wheat, Eggs","Milk, Wheat, Eggs",High Risk,"⚠️ High Risk: Contains Milk, Wheat, Eggs. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Flour, Rice Flour, Chia Seeds, Flaxseeds"
Rajma Chawal,"Wheat, Milk","Wheat, Milk",High Risk,"⚠️ High Risk: Contains Wheat, Milk. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Almond Milk, Cashew Cream, Soy Milk"
Fried Wontons,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Fried Wontons,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Peking Duck,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Chicken 65,"Tree Nuts, Shellfish, Peanuts","Tree Nuts, Shellfish, Peanuts",High Risk,"⚠️ High Risk: Contains Tree Nuts, Shellfish, Peanuts. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Mushrooms, Tofu, Sunflower Butter, Almond Butter"
Chicken 65,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Mapo Tofu,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Malai Kofta,"Gluten, Eggs, Shellfish","Gluten, Eggs, Shellfish",High Risk,"⚠️ High Risk: Contains Gluten, Eggs, Shellfish. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Chia Seeds, Flaxseeds, Mushrooms, Tofu"
Shrimp Fried Rice,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Veg Hakka Noodles,"Shellfish, Tree Nuts, Milk","Shellfish, Tree Nuts, Milk",High Risk,"⚠️ High Risk: Contains Shellfish, Tree Nuts, Milk. Avoid if allergic!","Mushrooms, Tofu, Seeds (Sunflower, Pumpkin), Almond Milk, Cashew Cream, Soy Milk"
Fried Wontons,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Paneer Tikka,"Peanuts, Wheat","Peanuts, Wheat",High Risk,"⚠️ High Risk: Contains Peanuts, Wheat. Avoid if allergic!","Sunflower Butter, Almond Butter, Gluten-Free Flour, Rice Flour"
Peanut Chikki,"Shellfish, Soy, Gluten","Shellfish, Soy, Gluten",High Risk,"⚠️ High Risk: Contains Shellfish, Soy, Gluten. Avoid if allergic!","Mushrooms, Tofu, Coconut Aminos, Tamari Sauce, Gluten-Free Wrap, Rice Paper"
Masala Dosa,"Tree Nuts, Eggs","Tree Nuts, Eggs",High Risk,"⚠️ High Risk: Contains Tree Nuts, Eggs. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Chia Seeds, Flaxseeds"
Masala Dosa,"Tree Nuts, Wheat, Gluten","Tree Nuts, Wheat, Gluten",High Risk,"⚠️ High Risk: Contains Tree Nuts, Wheat, Gluten. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Gluten-Free Flour, Rice Flour, Gluten-Free Wrap, Rice Paper"
Spring Rolls,"Peanuts, Tree Nuts","Peanuts, Tree Nuts",High Risk,"⚠️ High Risk: Contains Peanuts, Tree Nuts. Avoid if allergic!","Sunflower Butter, Almond Butter, Seeds (Sunflower, Pumpkin)"
Manchow Soup,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Rasgulla,"Gluten, Peanuts, Wheat","Gluten, Peanuts, Wheat",High Risk,"⚠️ High Risk: Contains Gluten, Peanuts, Wheat. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Sunflower Butter, Almond Butter, Gluten-Free Flour, Rice Flour"
Shrimp Fried Rice,"Tree Nuts, Milk, Wheat","Tree Nuts, Milk, Wheat",High Risk,"⚠️ High Risk: Contains Tree Nuts, Milk, Wheat. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Flour, Rice Flour"
Butter Naan,"Soy, Eggs","Soy, Eggs",High Risk,"⚠️ High Risk: Contains Soy, Eggs. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Chia Seeds, Flaxseeds"
